channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content
42,,,,,,,1063,491,,1,3,4,,1,
41,151,231,,,,191,1067,120,40,,3,1,58,1,0.258620689655172
41,151,231,,,,191,1189,120,40,,3,2,58,1,0.258620689655172
41,151,231,,,,191,1312,120,40,,3,3,58,1,0.258620689655172
41,151,231,,,,191,1434,120,40,,3,4,58,1,0.258620689655172
31,,,,,,51,1067,482,50,,255,255,255,1,3 of 71
32,,,,,,101,1067,482,50,,255,255,255,1,4 / 4
33,,,,,,151,1067,482,50,,250,250,100,1,D
39,,,,,,1,1067,1000,50,,255,255,255,1, Song Title 
51,,,,,,331,1067,300,8,,225,225,225,1,
51,,,,,,322,1067,300,8,,200,200,200,1,
51,,,,,,313,1067,300,8,,175,175,175,1,
51,,,,,,304,1067,300,8,,150,150,150,1,
51,,,,,,331,1372,55,8,,225,225,225,1,
51,,,,,,322,1372,55,8,,200,200,200,1,
51,,,,,,313,1372,55,8,,175,175,175,1,
51,,,,,,304,1372,55,8,,150,150,150,1,
51,,,,,,331,1434,40,8,,225,225,225,1,
51,,,,,,322,1434,40,8,,200,200,200,1,
51,,,,,,313,1434,40,8,,175,175,175,1,
51,,,,,,304,1434,40,8,,150,150,150,1,
51,,,,,,331,1474,40,8,,225,225,225,1,
51,,,,,,322,1474,40,8,,200,200,200,1,
51,,,,,,313,1474,40,8,,175,175,175,1,
51,,,,,,304,1474,40,8,,150,150,150,1,
51,,,,,,331,1514,35,8,,225,225,225,1,
51,,,,,,322,1514,35,8,,200,200,200,1,
51,,,,,,313,1514,35,8,,175,175,175,1,
51,,,,,,304,1514,35,8,,150,150,150,1,
11,,,,,,51,1554,2,1386,,0,0,0,1,
13,,,,,,200,1675,3,1236,,0,0,255,1,
12,,,,,,200,1797,1,1236,,0,0,255,1,
12,,,,,,200,1800,1,1236,,0,0,255,1,
13,,,,,,200,1920,3,1236,,0,0,255,1,
11,,,,,,51,2042,3,1386,,0,0,0,1,
42,,,,,,,1554,491,,,4,4,,1,
41,151,231,,,,191,1558,120,40,,4,1,58,1,0.258620689655172
41,151,231,,,,191,1680,120,40,,4,2,58,1,0.258620689655172
41,151,231,,,,191,1803,120,40,,4,3,58,1,0.258620689655172
41,151,231,,,,191,1925,120,40,,4,4,58,1,0.258620689655172
31,,,,,,51,1558,482,50,,255,255,255,1,4 of 71
32,,,,,,101,1558,482,50,,255,255,255,1,4 / 4
33,,,,,,151,1558,482,50,,250,250,100,1,D
39,,,,,,1,1558,1000,50,,255,255,255,1, Song Title 
51,,,,,,331,1558,237,8,,225,225,225,1,
51,,,,,,322,1558,237,8,,200,200,200,1,
51,,,,,,313,1558,237,8,,175,175,175,1,
51,,,,,,304,1558,237,8,,150,150,150,1,
