channel,rise_fall,sharp_flat,fingering/chord,lyrics,ipad_color(105),ipad_rows,ipad_col(107),length(109),height(110),flip_view,Bar No(40),Beats per Bar(40),tempo (40),Z-level,Content,
1,,,,,,600,12973,55,25,1,45,255,45,2,,
1,,,,,,700,13033,55,25,1,255,255,80,2,,
1,,,,,,1175,13096,115,25,1,255,130,5,2,,
1,,,,,,775,13096,55,25,1,45,255,45,2,,
1,,,,,,725,13156,55,25,1,0,0,0,2,,
1,,,,,,1075,13218,115,25,1,0,0,0,2,,
1,,,,,,1125,13218,115,25,1,45,255,45,2,,
1,,,,,,600,13218,55,25,1,45,255,45,2,,
1,,,,,,725,13278,55,25,1,0,0,0,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1350,13342,55,25,1,255,130,5,2,,
1,,,,,,950,13402,55,25,1,45,255,45,2,,
1,,,,,,1250,13402,55,25,1,0,0,0,2,,
1,,,,,,900,13464,55,25,1,0,0,0,2,,
1,,,,,,1175,13464,55,25,1,255,130,5,2,,
1,,,,,,825,13524,55,25,1,255,130,5,2,,
1,,,,,,1125,13524,55,25,1,45,255,45,2,,
1,,b,230,230,230,850,13587,55,25,1,255,71,71,2,,
1,,,,,,1075,13587,55,25,1,0,0,0,2,,
1,,,,,,825,13647,55,25,1,255,130,5,2,,
1,,,,,,775,13709,55,25,1,45,255,45,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1350,13833,55,25,1,17,17,255,2,,
1,,,,,,950,13893,55,25,1,178,125,255,2,,
1,,,,,,1250,13893,55,25,1,255,255,80,2,,
1,,b,0,0,0,850,13955,55,25,1,255,130,5,2,,
1,,,,,,1175,13955,55,25,1,17,17,255,2,,
1,,,,,,825,14015,55,25,1,17,17,255,2,,
1,,,,,,1125,14015,55,25,1,178,125,255,2,,
1,,,,,,775,14078,55,25,1,178,125,255,2,,
1,,,,,,1075,14078,55,25,1,255,255,80,2,,
1,,,,,,725,14138,55,25,1,255,255,80,2,,
1,,b,0,0,0,1025,14138,55,25,1,255,130,5,2,,
1,,b,0,0,0,675,14200,55,25,1,255,130,5,2,,
1,,,,,,1000,14200,55,25,1,17,17,255,2,,
0,,,,,,,80,,,,,,,1,,
1,,,,,,1350,14324,55,25,1,17,17,255,2,,
